Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,distance
Kollupitiya,6.912815400000001,79.8506815,Burger King,6.911746903522147,79.85158580642418,Fast Food Restaurant,0.11816541010528303
Maradana,6.926997,79.8639835,Burger King,6.92045918048996,79.86578054007262,Fast Food Restaurant,0.7230201599086857
Dalugama,6.9752231,79.92066940000002,Burger King,6.9750636624774485,79.9239773277024,Fast Food Restaurant,0.017632299639810892
Wattala,6.9906677,79.8931709,Burger King,6.988246086946938,79.89093441398096,Fast Food Restaurant,0.2678079295958022
Bambalapitiya,6.904361,79.8540397,Butter Boutique,6.906461649982563,79.85623091432537,Dessert Shop,0.2323115709194495
Cinnamon Gardens,6.9116652,79.86456779999997,"Butter Boutique, Rosmead Place",6.914497645971293,79.86990551216519,Dessert Shop,0.3132412300412675
Havelock Town,6.8866519,79.8646835,CASA Colombo,6.8888218810940085,79.85749920853817,Asian Restaurant,0.2399787440394981
Cinnamon Gardens,6.9116652,79.86456779999997,CH & FC,6.908428497643929,79.86561615792445,Sports Bar,0.3579480451615799
Piliyandala,6.8017575,79.9227313,CIB Shopping Center,6.799723412386028,79.92492428238207,Clothing Store,0.22494943887835295
Maharagama,6.8510951,79.92120109999998,CIB Shopping Centre,6.8549298473850095,79.92795750610601,Boutique,0.42408504539957104
Kirulapana,6.8814717000000005,79.87634759999997,CREO360 (Pvt) Ltd,6.8814640159545775,79.87384284088944,Office,0.0008497802550571543
Cinnamon Gardens,6.9116652,79.86456779999997,Cafe Francais,6.916755116817435,79.8589690751515,French Restaurant,0.5628957785087032
Kollupitiya,6.912815400000001,79.8506815,Cafe Japan,6.909133714536327,79.85026303077915,Japanese Restaurant,0.40715889842104996
Cinnamon Gardens,6.9116652,79.86456779999997,Cafe Kumbuk,6.9110551692596385,79.87055399657129,Breakfast Spot,0.06746351656303919
Pelawatte,6.8905834000000015,79.924918,Cafe Noir,6.893456093613646,79.92617461826153,Coffee Shop,0.3176919515948186
Havelock Town,6.8866519,79.8646835,Cafe Noir Blanc,6.89241859271819,79.8697522692535,Café,0.6377400169465076
Union Place,6.9229583,79.8523572,Cafe Seventy Seven,6.920389062639076,79.85380053351871,Café,0.2841329964217188
Fort (Colombo),6.9337011,79.8500302,Café 64,6.93194211761297,79.84245830652792,Café,0.19452666294078405
Fort (Colombo),6.9337011,79.8500302,California Grill,6.9316836341794525,79.84296726230505,Steakhouse,0.22311246231442633
Pelawatte,6.8905834000000015,79.924918,Calorie Counter,6.890864456406316,79.92886817771134,Café,0.03108210112441211
